Date,Open,High,Low,Close,Adj Close,Volume
2013-06-10,1644.670044,1648.689941,1639.26001,1642.810059,1642.810059,2978730000
2013-06-11,1638.640015,1640.130005,1622.920044,1626.130005,1626.130005,3435710000
2013-06-12,1629.939941,1637.709961,1610.920044,1612.52002,1612.52002,3202550000
2013-06-13,1612.150024,1639.25,1608.069946,1636.359985,1636.359985,3378620000
2013-06-14,1635.52002,1640.800049,1623.959961,1626.72998,1626.72998,2939400000
2013-06-17,1630.640015,1646.5,1630.339966,1639.040039,1639.040039,3137080000
2013-06-18,1639.77002,1654.189941,1639.77002,1651.810059,1651.810059,3120980000
2013-06-19,1651.829956,1652.449951,1628.910034,1628.930054,1628.930054,3545060000
2013-06-20,1624.619995,1624.619995,1584.319946,1588.189941,1588.189941,4858850000
2013-06-21,1588.619995,1599.189941,1577.699951,1592.430054,1592.430054,5797280000
2013-06-24,1588.77002,1588.77002,1560.329956,1573.089966,1573.089966,4733660000
2013-06-25,1577.52002,1593.790039,1577.089966,1588.030029,1588.030029,3761170000
2013-06-26,1592.27002,1606.829956,1592.27002,1603.26001,1603.26001,3558340000
2013-06-27,1606.439941,1620.069946,1606.439941,1613.199951,1613.199951,3364540000
2013-06-28,1611.119995,1615.939941,1601.060059,1606.280029,1606.280029,4977190000
2013-07-01,1609.780029,1626.609985,1609.780029,1614.959961,1614.959961,3104690000
2013-07-02,1614.290039,1624.26001,1606.77002,1614.079956,1614.079956,3317130000
2013-07-03,1611.47998,1618.969971,1604.569946,1615.410034,1615.410034,1966050000
2013-07-05,1618.650024,1632.069946,1614.709961,1631.890015,1631.890015,2634140000
2013-07-08,1634.199951,1644.680054,1634.199951,1640.459961,1640.459961,3514590000
2013-07-09,1642.890015,1654.180054,1642.890015,1652.319946,1652.319946,3155360000
2013-07-10,1651.560059,1657.920044,1647.660034,1652.619995,1652.619995,3011010000
2013-07-11,1657.410034,1676.630005,1657.410034,1675.02002,1675.02002,3446340000
2013-07-12,1675.26001,1680.189941,1672.329956,1680.189941,1680.189941,3039070000
2013-07-15,1679.589966,1684.51001,1677.890015,1682.5,1682.5,2623200000
2013-07-16,1682.699951,1683.72998,1671.839966,1676.26001,1676.26001,3081710000
2013-07-17,1677.910034,1684.75,1677.910034,1680.910034,1680.910034,3153440000
2013-07-18,1681.050049,1693.119995,1681.050049,1689.369995,1689.369995,3452370000
2013-07-19,1686.150024,1692.089966,1684.079956,1692.089966,1692.089966,3302580000
2013-07-22,1694.410034,1697.609985,1690.670044,1695.530029,1695.530029,2779130000
2013-07-23,1696.630005,1698.780029,1691.130005,1692.390015,1692.390015,3096180000
2013-07-24,1696.060059,1698.380005,1682.569946,1685.939941,1685.939941,3336120000
2013-07-25,1685.209961,1690.939941,1680.069946,1690.25,1690.25,3322500000
2013-07-26,1687.310059,1691.849976,1676.030029,1691.650024,1691.650024,2762770000
2013-07-29,1690.319946,1690.920044,1681.859985,1685.329956,1685.329956,2840520000
2013-07-30,1687.920044,1693.189941,1682.420044,1685.959961,1685.959961,3320530000
2013-07-31,1687.76001,1698.430054,1684.939941,1685.72998,1685.72998,3847390000
2013-08-01,1689.420044,1707.849976,1689.420044,1706.869995,1706.869995,3775170000
2013-08-02,1706.099976,1709.670044,1700.680054,1709.670044,1709.670044,3136630000
2013-08-05,1708.01001,1709.23999,1703.550049,1707.140015,1707.140015,2529300000
2013-08-06,1705.790039,1705.790039,1693.290039,1697.369995,1697.369995,3141210000
2013-08-07,1695.300049,1695.300049,1684.910034,1690.910034,1690.910034,3010230000
2013-08-08,1693.349976,1700.180054,1688.380005,1697.47998,1697.47998,3271660000
